time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-05 00:00:00+00:00,10,9,1657,324
2025-03-06 00:00:00+00:00,12,12,1521,322
2025-03-07 00:00:00+00:00,11,11,1089,217
2025-03-08 00:00:00+00:00,5,5,466,77
2025-03-09 00:00:00+00:00,4,4,396,105
2025-03-10 00:00:00+00:00,17,15,1709,326
2025-03-11 00:00:00+00:00,8,8,1616,331
2025-03-12 00:00:00+00:00,3,3,1796,350
2025-03-13 00:00:00+00:00,36,26,1836,280
2025-03-14 00:00:00+00:00,16,15,1213,294
2025-03-15 00:00:00+00:00,16,12,662,129
2025-03-16 00:00:00+00:00,8,8,576,117
2025-03-17 00:00:00+00:00,14,12,1508,299
2025-03-18 00:00:00+00:00,37,17,1262,287
