time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-27 00:00:00+00:00,165,12,69,27
2025-02-28 00:00:00+00:00,219,16,94,33
2025-03-01 00:00:00+00:00,137,7,11,10
2025-03-02 00:00:00+00:00,19,2,23,8
2025-03-03 00:00:00+00:00,59,8,41,25
2025-03-04 00:00:00+00:00,53,14,130,31
2025-03-05 00:00:00+00:00,30,13,70,19
2025-03-06 00:00:00+00:00,38,14,66,26
2025-03-07 00:00:00+00:00,23,6,38,11
2025-03-08 00:00:00+00:00,25,7,11,6
2025-03-09 00:00:00+00:00,11,1,1,1
2025-03-10 00:00:00+00:00,16,9,42,17
2025-03-11 00:00:00+00:00,14,9,64,22
2025-03-12 00:00:00+00:00,36,7,40,21
2025-03-13 00:00:00+00:00,21,8,130,24
2025-03-14 00:00:00+00:00,24,9,22,13
2025-03-15 00:00:00+00:00,31,6,6,5
2025-03-16 00:00:00+00:00,28,3,11,8
2025-03-17 00:00:00+00:00,43,5,62,22
2025-03-18 00:00:00+00:00,23,10,38,19
