time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-08 00:00:00+00:00,25,7,11,6
2025-03-09 00:00:00+00:00,11,1,1,1
2025-03-10 00:00:00+00:00,16,9,42,17
2025-03-11 00:00:00+00:00,14,9,64,22
2025-03-12 00:00:00+00:00,36,7,40,21
2025-03-13 00:00:00+00:00,21,8,130,24
2025-03-14 00:00:00+00:00,24,9,22,13
2025-03-15 00:00:00+00:00,31,6,6,5
2025-03-16 00:00:00+00:00,28,3,11,8
2025-03-17 00:00:00+00:00,43,5,62,22
2025-03-18 00:00:00+00:00,23,10,39,20
2025-03-19 00:00:00+00:00,24,9,22,12
2025-03-20 00:00:00+00:00,41,11,49,27
2025-03-21 00:00:00+00:00,33,11,73,20
