time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-08 00:00:00+00:00,155,5,181,48
2025-03-09 00:00:00+00:00,157,6,141,48
2025-03-10 00:00:00+00:00,244,52,1019,193
2025-03-11 00:00:00+00:00,281,69,798,184
2025-03-12 00:00:00+00:00,194,36,1159,222
2025-03-13 00:00:00+00:00,242,68,856,184
2025-03-14 00:00:00+00:00,281,98,877,156
2025-03-15 00:00:00+00:00,173,16,340,72
2025-03-16 00:00:00+00:00,162,8,277,62
2025-03-17 00:00:00+00:00,195,29,910,200
2025-03-18 00:00:00+00:00,629,37,835,184
2025-03-19 00:00:00+00:00,281,38,1027,198
2025-03-20 00:00:00+00:00,348,52,1043,190
2025-03-21 00:00:00+00:00,211,21,732,149
