time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-07 00:00:00+00:00,2.0,2.0,117,19
2025-03-08 00:00:00+00:00,3.0,3.0,17,6
2025-03-09 00:00:00+00:00,,,9,4
2025-03-10 00:00:00+00:00,1.0,1.0,51,14
2025-03-11 00:00:00+00:00,3.0,3.0,75,19
2025-03-12 00:00:00+00:00,,,81,17
2025-03-13 00:00:00+00:00,,,145,19
2025-03-14 00:00:00+00:00,1.0,1.0,57,13
2025-03-15 00:00:00+00:00,6.0,4.0,22,8
2025-03-16 00:00:00+00:00,,,13,9
2025-03-17 00:00:00+00:00,5.0,5.0,104,23
2025-03-18 00:00:00+00:00,,,188,23
2025-03-19 00:00:00+00:00,1.0,1.0,111,19
2025-03-20 00:00:00+00:00,1.0,1.0,20,9
