time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-04 00:00:00+00:00,1.0,1.0,1,1
2025-03-05 00:00:00+00:00,1.0,1.0,3,2
2025-03-06 00:00:00+00:00,1.0,1.0,51,16
2025-03-07 00:00:00+00:00,1.0,1.0,3,1
2025-03-08 00:00:00+00:00,,,3,1
2025-03-09 00:00:00+00:00,1.0,1.0,15,2
2025-03-10 00:00:00+00:00,2.0,2.0,23,9
2025-03-11 00:00:00+00:00,1.0,1.0,205,37
2025-03-12 00:00:00+00:00,,,16,8
2025-03-13 00:00:00+00:00,,,26,9
2025-03-14 00:00:00+00:00,2.0,2.0,35,8
2025-03-15 00:00:00+00:00,2.0,2.0,13,2
2025-03-16 00:00:00+00:00,,,2,2
2025-03-17 00:00:00+00:00,10.0,6.0,95,9
