time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-05 00:00:00+00:00,14,13,1093,221
2025-03-06 00:00:00+00:00,5,4,1067,246
2025-03-07 00:00:00+00:00,7,7,786,157
2025-03-08 00:00:00+00:00,7,6,358,81
2025-03-09 00:00:00+00:00,2,2,256,73
2025-03-10 00:00:00+00:00,19,18,1042,226
2025-03-11 00:00:00+00:00,14,14,1172,263
2025-03-12 00:00:00+00:00,12,12,1505,268
2025-03-13 00:00:00+00:00,7,7,912,214
2025-03-14 00:00:00+00:00,11,10,1077,223
2025-03-15 00:00:00+00:00,11,8,539,116
2025-03-16 00:00:00+00:00,16,10,498,110
2025-03-17 00:00:00+00:00,21,13,1229,243
2025-03-18 00:00:00+00:00,10,6,914,281
