time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-02 00:00:00+00:00,,,1,1
2025-03-03 00:00:00+00:00,2.0,2.0,2,2
2025-03-05 00:00:00+00:00,,,15,4
2025-03-06 00:00:00+00:00,2.0,2.0,4,2
2025-03-07 00:00:00+00:00,1.0,1.0,4,1
2025-03-08 00:00:00+00:00,2.0,2.0,4,2
2025-03-09 00:00:00+00:00,,,1,1
2025-03-10 00:00:00+00:00,,,1,1
2025-03-11 00:00:00+00:00,1.0,1.0,3,1
2025-03-12 00:00:00+00:00,,,7,2
2025-03-13 00:00:00+00:00,,,1,1
2025-03-14 00:00:00+00:00,,,13,5
