url_path,views_total,views_unique
/quic/Pose-Detection-with-HRPoseNet,52,37
/quic/Pose-Detection-with-HRPoseNet/tree/main/src,11,9
/quic/Pose-Detection-with-HRPoseNet/blob/main/src/hrnet_pose/main.py,10,5
/quic/Pose-Detection-with-HRPoseNet/tree/main/models,8,6
/quic/Pose-Detection-with-HRPoseNet/tree/main/src/hrnet_pose,7,7
/quic/Pose-Detection-with-HRPoseNet/blob/main/src/hrnet_pose/model_inference.py,7,4
/quic/Pose-Detection-with-HRPoseNet/blob/main/requirements.txt,7,2
/quic/Pose-Detection-with-HRPoseNet/tree/main/notebooks,6,5
/quic/Pose-Detection-with-HRPoseNet/tree/main,6,3
/quic/Pose-Detection-with-HRPoseNet/blob/main/notebooks/sample_app_hrnet.ipynb,5,4
