time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-08 00:00:00+00:00,900,751,11,3
2025-03-09 00:00:00+00:00,1186,945,12,6
2025-03-10 00:00:00+00:00,1364,1122,63,7
2025-03-11 00:00:00+00:00,387,358,54,13
2025-03-12 00:00:00+00:00,567,514,104,11
2025-03-13 00:00:00+00:00,790,698,35,7
2025-03-14 00:00:00+00:00,726,647,71,11
2025-03-15 00:00:00+00:00,315,291,16,4
2025-03-16 00:00:00+00:00,1223,993,33,7
2025-03-17 00:00:00+00:00,713,635,16,5
2025-03-18 00:00:00+00:00,755,666,57,13
2025-03-19 00:00:00+00:00,421,394,6,3
2025-03-20 00:00:00+00:00,162,141,32,6
2025-03-21 00:00:00+00:00,604,550,16,6
