url_path,views_total,views_unique
/quic/qccsdk-qcc711,31,19
/quic/qccsdk-qcc711/tree/main/qcc711_sdk,21,9
/quic/qccsdk-qcc711/tree/main/qcc711_sdk/iar,15,5
/quic/qccsdk-qcc711/tree/main/qcc711_sdk/tools,9,5
/quic/qccsdk-qcc711/tree/main/qcc711_sdk/src,8,6
/quic/qccsdk-qcc711/tree/main/qcc711_sdk/iar/tools,7,4
/quic/qccsdk-qcc711/tree/main,6,4
/quic/qccsdk-qcc711/commit/72caf3e3fc1f4e39c26df83c1ac0568be77294bc,6,3
/quic/qccsdk-qcc711/tree/main/qcc711_sdk/iar/Qualcomm,5,4
/quic/qccsdk-qcc711/tree/main/qcc711_sdk/tools/scripts,5,4
